English,standard bangla,romanized bangla,chakma,romanized chakma
Universities are places of higher education.,বিশ্ববিদ্যালয় হলো একটি উচ্চ শিক্ষা প্রদানকারী স্থান।,Bisshobiddaloy holo ekti uccho shikkha prodankari sthan.,বিশ্ববিদ্যালয় অলদে এক্কান উচ্চ বিদ্দ্যে প্রদান গুরিবার জাগা,Bishshobiddaloy olde ekkan uccho biddye prodan guribar jaga
Students at the university receive their education in various courses.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীরা বিভিন্ন পাঠ্যক্রমে নিজেদের শিক্ষা প্রাপ্ত করে।,Bisshobiddaloye chatro-chatrira bibhinno patthokrome nijeder shikkha prapto kore.,বিশ্ববিদ্যালয়ত পুড়িয়ে পো-জি উনোরে বিভিন্ন পাঠ্যক্রমত বিদ্দ্যে দি ঠাই,Bishshobiddaloyot puriye po-ji unore bibhinno paithokromot biddye di thai
The university is a pioneer in the expansion of education.,বিশ্ববিদ্যালয় শিক্ষার প্রসারণে অগ্রণী।,Bisshobiddaloy shikkhar prosharone ogroni.,বিশ্ববিদ্যালয় অন বিদ্যো প্রসার গুড়িবাত্বাই বেজ ভুমিকা পালে পায়,Bishshobiddaloy on biddo proshar guribat-twai bej bhumika pale pay
Teachers at the university teach students.,বিশ্ববিদ্যালয়ে শিক্ষক-শিক্ষিকা শিক্ষার্থীদের প্রতি শিক্ষাদান দেয়।,Bisshobiddaloye shikkhok-shikkhika shikkhatrider proti shikkha-daan dey.,বিশ্ববিদ্যালয়ত মাস্টর মাস্টারি উন পুড়িয়ে পো জি উনরে বিদ্যো দান গুড়ি ঠান,Bishshobiddaloyot mastor mastari un puriye po ji unore biddo daan guri than
Higher education is provided at the university than at other educational institutions.,বিশ্ববিদ্যালয়ে অন্যান্য শিক্ষাপ্রতিষ্ঠানের চেয়ে উচ্চতর শিক্ষা প্রদান হয়।,Bisshobiddaloye onnanno shikkha-protishthaner cheye ucchotoro shikkha prodan hoy.,বিশ্ববিদ্যালয়ত অন্যান্য বেগ পুড়িবার জাগা উন্নতুন বেজ বিদ্যো দান গুড়ি ঠাই,Bishshobiddaloyot oinnoinno beg puribar jaga unnotun bej biddo daan guri thai
Campus life at the university can be very ideal.,বিশ্ববিদ্যালয়ে ক্যাম্পাস জীবন অনেকটাই আদর্শ হতে পারে।,Bisshobiddaloye campus jibon onektai adorsho hote pare.,বিশ্ববিদ্যালয়ত ক্যাম্পাসও জীংগানি আন দোল ওই পারে,Bishshobiddaloyot campus-o jinggani aan dol oi pare
Different subjects are studied at the university to gain specialization.,বিশ্ববিদ্যালয়ে বিশেষজ্ঞতা অর্জন করার জন্য বিভিন্ন বিষয়ে পড়া হয়।,Bisshobiddaloye bishesoggota orjon korar jonno bibhinno bishoye pora hoy.,বিশ্ববিদ্যালয়ত বিশেষ রকমের বিদ্যে অরজন গুড়িবার লাই বিভিন্ন ধরনের বিদ্যে পড়ানা অয়,Bishshobiddaloyot bishesh rokomer biddye orjon guribar lai bibhinno dhoroner biddye porana oy
Special education is provided at the university for students.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিশেষ শিক্ষা প্রদান করা হয়।,Bisshobiddaloye chatro-chatrider jonno bishes shikkha prodan kora hoy.,বিশ্ববিদ্যালত পুড়িয়ে পো-জী উনোর লাই বিশেষ রকমের বিদ্যে দান গড়ানো অয়,Bishshobiddaloyot puriye po-ji unor lai bishesh rokomer biddye daan gorano oy
There are various cultural and sports activities at the university.,বিশ্ববিদ্যালয়ে বিভিন্ন সাংস্কৃতিক ও খেলাধুলার কর্মক্ষেত্র রয়েছে।,Bisshobiddaloye bibhinno sangskritik o kheladhular kormokhetro royeche.,বিশ্ববিদ্যালয়ত বালক্কানি সাংস্কৃতিক ও হেলা ধুলো গুরিবার লাই যাগা আগে,Bishshobiddaloyot balokkani shangskritik o hela dhulo guribar lai jaga aage
Many teachers at the university may have more foreigners.,বিশ্ববিদ্যালয়ে অনেক বিশ্ববিদ্যালয়ে শিক্ষক-শিক্ষিকা অধিক বিদেশী থাকতে পারে।,Bisshobiddaloye onek bisshobiddaloye shikkhok-shikkhika odhik bideshi thakte pare.,বিশ্ববিদ্যালয়ত বালক্কানি বিদেজর মাস্টর-মাস্টারি থে পাড়ন,Bishshobiddaloyot balokkani bidejor mastor-mastari the paron
Diversity is maintained among students at the university.,বিশ্ববিদ্যালয়ে শিক্ষার্থীদের মধ্যে বৈচিত্র্য বজায় রাখা হয়।,Bisshobiddaloye shikkhatrider moddhe boichitro bojay rakha hoy.,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনুর মধ্যে বৈচিত্র থে পারে,Bishshobiddaloyot puriye po ji unur moddhe boichitro the pare
There are various clubs and communities at the university.,বিশ্ববিদ্যালয়ে বিভিন্ন ক্লাব ও সম্প্রদায় রয়েছে।,Bisshobiddaloye bibhinno club o shomproday royeche.,বিশ্ববিদ্যালয়ত বালক্কানি ক্লাব আর সম্প্রদায় থে পাড়ে,Bishshobiddaloyot balokkani club aar shomproday the pare
Preparation is required for admission to the university.,বিশ্ববিদ্যালয়ে ভর্তি হওয়ার জন্য প্রস্তুতি করতে হয়।,Bisshobiddaloye bhorti howar jonno prostuti korte hoy.,বিশ্ববিদ্যালয়ত পুড়িবার গেলে আগ প্রস্তুতি লো পড়ে,Bishshobiddaloyot puribar gele aag prostuti lo pore
Students at the university easily make new friends.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীরা সহজেই নতুন বন্ধু পাতে।,Bisshobiddaloye chatro-chatrira shohojei notun bondhu pate.,বিশ্ববিদ্যালয়ত হুব সহজে পুড়িয়ে পো জী উন সমাজ্জি বানে পাড়ন,Bishshobiddaloyot hub shohoje puriye po ji un shomajji bane paron
Various festivals and events are organized at the university.,বিশ্ববিদ্যালয়ে বিভিন্ন ফেস্টিভ্যাল এবং ইভেন্ট আয়োজন করা হয়।,Bisshobiddaloye bibhinno festival ebong event ayojon kora hoy.,বিশ্ববিদ্যালয় বালক্কানি ফেস্টিবল আন ইভেন্ট পালানো অয়,Bishshobiddaloy balokkani festibol aan event palano oy
It takes a lot of time to travel to the university campus.,বিশ্ববিদ্যালয়ে ক্যাম্পাসে ভ্রমণ করতে হলে অনেক সময় প্রয়োজন।,Bisshobiddaloye campus-e bhromon korte hole onek shomoy proyojon.,বিশ্ববিদ্যালয়র ক্যাম্পাসঅট বেড়েবার গেলে বালক্কন সময় লাগে,Bishshobiddaloyor campus-ot berebar gele balokkon shomoy lage
Various activities can be held on the university campus.,বিশ্ববিদ্যালয়ে ক্যাম্পাসে বিভিন্ন কার্যক্রম অনুষ্ঠিত হতে পারে।,Bisshobiddaloye campus-e bibhinno karjokrom onushthito hote pare.,বিশ্ববিদ্যালয় ক্যাম্পাজট বালক্কানি কার্যক্রম ওয় পাড়ে,Bishshobiddaloy campus-ot balokkani karjokrom oy pare
Various technologies are used at the university.,বিশ্ববিদ্যালয়ে বিভিন্ন প্রযুক্তি ব্যবহার হয়।,Bisshobiddaloye bibhinno projukti bebohar hoy.,বিশ্ববিদ্যালয়ট বালক্কানি প্রযুক্তি ব্যবহার অয়,Bishshobiddaloyot balokkani projukti bebohar oy
Many students at the university learn language technology.,বিশ্ববিদ্যালয়ে অনেক ছাত্র-ছাত্রীরা ভাষা প্রযুক্তি শেখে থাকে।,Bisshobiddaloye onek chatro-chatrira bhasha projukti shekhe thake.,বিশ্ববিদ্যালয়ট বালুক্কুন পুড়িয়ি পো-জ্বি উন ভাষা প্রযুক্তি শিগি ঠান,Bishshobiddaloyot balukkun puriye po-ji un bhasha projukti shigi than
The university offers courses in different languages.,বিশ্ববিদ্যালয়ে বিভিন্ন ভাষায় কোর্স প্রদান করা হয়।,Bisshobiddaloye bibhinno bhashay course prodan kora hoy.,বিশ্ববিদ্যালয়েট বালক্কানি ভাষা শিগিবার কোর্স দি ঠাই,Bishshobiddaloyet balokkani bhasha shigibar course di thai
The university invites students from different countries.,বিশ্ববিদ্যালয়ে বিভিন্ন দেশের ছাত্র-ছাত্রীদের আমন্ত্রণ দেওয়া হয়।,Bisshobiddaloye bibhinno desher chatro-chatrider amontron dewa hoy.,বিশ্ববিদ্যালয় বালক্কানি দেজর পুড়িয়ে পো জী উনোরে এবার লাই দাগানো অয়,Bishshobiddaloy balokkani dejor puiyye po ji unore ebar lai dagano oy
The university has many different campuses.,বিশ্ববিদ্যালয়ে অনেক বিভিন্ন ক্যাম্পাস আছে।,Bisshobiddaloye onek bibhinno campus ache.,বিশ্ববিদ্যালয়ট বালক্কানি ক্যাম্পাস আগে,Bishshobiddaloyot balokkani campus aage
The university has various necessary facilities for students.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিভিন্ন আবশ্যক উপকরণ রয়েছে।,Bisshobiddaloye chatro-chatrider jonno bibhinno abosshok upokoron royeche.,বিশ্ববিদ্যালয় বালক্কানি পুড়িবার জিনিস আনি পুড়িয়ে পো জী উনোর লাই আগে,Bishshobiddaloy balokkani puribar jinish aani puiyye po ji unor lai aage
The university offers different degrees for students.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিভিন্ন উপাধি প্রদান করা হয়।,Bisshobiddaloye chatro-chatrider jonno bibhinno upadhi prodan kora hoy.,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনোর বালক্কানি উপাধি দেনা অয়,Bishshobiddaloyot puiyye po ji unor balokkani upadhi dena oy
Different students can study law at the university.,বিশ্ববিদ্যালয়ে বিভিন্ন ছাত্র-ছাত্রীরা আইন অধ্যয়ন করতে পারে,Bisshobiddaloye bibhinno chatro-chatrira ain oddhoyon korte pare.,বিশ্ববিদ্যালয়ট বালুক্কুন পুড়িয়ে পো জী উনোরে আইনের বিদ্যে দেনা অয়,Bishshobiddaloyot balukkun puiyye po ji unore aainer biddyee dena oy
Students can have fun in campus life at the university.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের ক্যাম্পাস জীবনে রমনা হতে পারে।,Bisshobiddaloye chatro-chatrider campus jibone romona hote pare.,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনোর ক্যাম্পাস জীবন রমনা গুড়ি পারে,Bishshobiddaloyot puiyye po ji unor campus jibon romona guri pare
There are libraries in different campuses of the university.,বিশ্ববিদ্যালয়ে বিভিন্ন ক্যাম্পাসে লাইব্রেরি রয়েছে।,Bisshobiddaloye bibhinno campus-e library royeche.,বিশ্ববিদ্যালয়ট বিভিন্ন ক্যাম্পাস্ট বিদ্যে শিগিবার ঘর আগে,Bishshobiddaloyot bibhinno campusot biddyee shigibar ghor aage
Various associations and events are organized for students at the university.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিভিন্ন সংঘ ও ইভেন্ট আয়োজন করা হয়,Bisshobiddaloye chatro-chatrider jonno bibhinno shongho o event ayojon kora hoy.,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনোর লাই বালক্কানি সংঘ আর ইভেন্ট আয়োজন গড়ানো ওয়,Bishshobiddaloyot puiyye po ji unor lai balokkani shongho aar event aayojon gorano oy
A course is selected for admission to the university.,বিশ্ববিদ্যালয়ে ভর্তি হওয়ার জন্য একটি কোর্স সিলেক্ট করা হয়,Bisshobiddaloye bhorti howar jonno ekti course select kora hoy.,বিশ্ববিদ্যালয়ট ভর্তি অবার লাই ইজ্ঞু কোর্স সিলেক্ট গড়ানা অয়,Bishshobiddaloyot bhorti obar lai igne course select gorana oy
There may be different seats for students at the university.,বিশ্ববিদ্যালয়ে শিক্ষার্থীদের জন্য বিভিন্ন আসনের সৌন্দর্য থাকতে পারে।,Bisshobiddaloye shikkhatrider jonno bibhinno asoner shoundorjo thakte pare.,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনোর লাই বালক্কানি আস্নর দোল আন থে পারে,Bishshobiddaloyot puiyye po ji unor lai balokkani aasnor dol aan the pare
There are various materials and trial materials for students at the university.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিভিন্ন উপকরণ এবং বিচার উপকরণ রয়েছে।,Bisshobiddaloye chatro-chatrider jonno bibhinno upokoron ebong bichar upokoron royeche.,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনোর লাই বালক্কান উপকরণ আর যানবাহন আগে।,Bishshobiddaloyot puiyye po ji unor lai balokkan upokoron aar janbahon aage.
There are various materials and vehicles for students at the university.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিভিন্ন উপকরণ ও যানবাহন রয়েছে।,Bisshobiddaloye chatro-chatrider jonno bibhinno upokoron o janbahon royeche.,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনোর লাই বালক্কানি উপকরন আর বিচার উপকরন বুয়ি,Bishshobiddaloyot puiyye po ji unor lai balokkani upokoron aar bichar upokoron buyi
There are various pet holes for students at the university.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিভিন্ন পোষ্য হোল রয়েছে।,Bisshobiddaloye chatro-chatrider jonno bibhinno posshyo hol royeche.,বিশ্ববিদ্যালয়ট বালক্কানি পোষ্য হল আগে পুড়িয়ে পো জী উনোর লাই,Bishshobiddaloyot balokkani poissho hol aage puiyye po ji unor lai
Different khokars may be organized at different campuses of the university.,বিশ্ববিদ্যালয়ে বিভিন্ন ক্যাম্পাসে বিভিন্ন খোকার আয়োজন করা হতে পারে।,Bisshobiddaloye bibhinno campus-e bibhinno khokar ayojon kora hote pare.,বিশ্ববিদ্যালয়ট বালক্কানি ক্যাম্পাসট বালক্কানি খোকার আয়োজন বুয়ি,Bishshobiddaloyot balokkani campusot balokkani khokar aayojon buyi
Barisal division is located in the south of Bangladesh.,বরিশাল বিভাগটি বাংলাদেশের দক্ষিণে অবস্থিত।,Borishal bibhagti Bangladesh-er dokkhine obosthito.,বরিশাল বিভাগ আন বাংলাদেজত দক্ষিনে অবস্থিত,Borishal bibhag aan Bangladeshot dokkhine obosthito
It is known for its natural beauty and many rivers.,এটি প্রাকৃতিক সৌন্দর্য এবং অনেকগুলি নদীর জন্য পরিচিত।,Eti prakritik shoundorjo ebong onekguli nodir jonno porichito.,ইয়ান প্রাকৃতিক দোল অর বালক্কানি নদী লাই আ পরিচিত,Iyan prakritik dol or balokkani nodi lai a porichito
The divisional headquarters is located in the city of Barisal.,বিভাগীয় মানক বরিশাল শহরে অবস্থিত।,Bibhagiyo manok Borishal shohore obosthito.,বিভাগীয় মানক আন বরিশাল শহরট অবস্তিত,Bibhagiyo manok aan Borishal shohorot obosthito
"Kuakata, known as the 'daughter of the sea', is a famous tourist destination in Barisal.","কুয়াকাটা, যা 'সমুদ্রের কন্যা' হিসেবে পরিচিত, বরিশালে একটি প্রসিদ্ধ পর্যটন গন্তব্য।","Kuakata, ja 'shomudrer konna' hishebe porichito, Borishale ekti prosiddho porjoton gontobbo.",কুয়াকাটা যিয়ান সমুদ্র কন্যা ইজেবে পরিচিত সিয়ান বরিশাল শহরট অবস্তিত,Kuakata jiyan shomudro konna ijebe porichito siyan Borishal shohorot obosthito
Patuakhali is famous for the beauty of Kuakata beach.,পটুয়াখালি বিখ্যাত কুয়াকাটা সৈকতের সৌন্দর্যের জন্য,Potuakhali bikhyato Kuakata shoikoter shoundorjer jonno.,পটুয়াখালী আন কুয়াকাটা সৈকতের দোলর লাই বিখ্যাত,Potuakhali aan Kuakata shoikoter dolor lai bikhyato
"Bhola, the largest island in Bangladesh.","ভোলা, বাংলাদেশের সবচেয়ে বড় দ্বীপ,","Bhola, Bangladesh-er shobcheye boro dwip.",ভোলা বাংলাদেজর বেগ দাঙর দ্বীপ,Bhola Bangladeshor beg daangor dwip
Jhalokathi is known for its cultural wealth.,ঝালকাঠি সাংস্কৃতিক ধনের জন্য পরিচিত,Jhalokathi sangskritik dhoner jonno porichito.,ঝালকাঠি আন সাংস্কৃতিক সম্পদের লাই পরিচিত,Jhalokathi aan shangskritik shompoder lai porichito
Pirojpur is famous for its historic Guava Fair.,পিরোজপুর ঐতিহাসিক পেয়ারা মেলার জন্য বিখ্যাত,Pirojpur oitihashik peyara melar jonno bikhyato.,পিরোজপুর আন ঐতিহাসিক পেয়ারা মেলার লাই বিখ্যাত,Pirojpur aan oitihashik peyara melar lai bikhyato
Welcome to our beautiful country.,আমাদের সুন্দর দেশে আপনাকে স্বাগতম।,Amader shundor deshe apnake swagotom.,আমা দোল দেজত তোমারে আমন্ত্রন জানাং,Ama dol dejot tomare amontron janang
I will show you around the city.,আমি আপনাকে শহরের চারপাশে দেখাবো।,Ami apnake shohorer charpashe dekhabo.,মুই তরে শহরর চের পাজট সেম্মি,Mui tore shohoror cher pajot semmi
What is the best time to visit?,সেরা সময়টি কি যাত্রা করার জন্য?,Sera shomoyti ki jatra korar jonno?,সেরা গম সময় আন হুবু বেড়েবার লাই?,Sera gom shomoy aan hubu berebar lai?
Do you need a map?,আপনার কি ম্যাপ প্রয়োজন?,Apnar ki map proyojon?,তর হি ম্যাপ লাগিবু?,Tor hi map lagibu?
This is a famous historical place.,এটি একটি বিখ্যাত ঐতিহাসিক স্থান।,Eti ekti bikhyato oitihashik sthan.,ইয়ান এক্কান বিখ্যাত ঐতিহাসিক জাগা,Iyan ekkan bikhyato oitihashik jaga
Let's take a guided tour.,আসুন গাইডেড টুর নিয়ে যাই।,Ashun guided tour niye jai.,আই গাইডেড টুর লনেই যেয়?,Aai guided tour lonei jey?
Don't forget to take pictures.,ছবি তুলতে ভুলবেন না।,Chobi tulte bhulben na.,ছুবি টুলিবার লো ভুলিজ।,Chubi tulibar lo bhulijo.
Let's go to the local market.,আসুন স্থানীয় বাজারে যাই।,Ashun sthaniyo bajare jai.,আই স্থানীয় বাজারত যেই,Aai sthaniyo bajarot jei
Are there any special events going on?,কোন বিশেষ ঘটনা ঘটছে?,Kono bishes ghotona ghotche?,হনো বিশেষ ঘটনাকল হি ঘুট্টি,Hono bishesh ghotonakol hi ghutti?
Try the local food.,স্থানীয় খাবার চেষ্টা করুন।,Sthaniyo khabar cheshta korun.,স্থানীয় হানা চেষ্টা গুড়ি সা,Sthaniyo hana cheshta guri sa
Can you recommend a good restaurant?,আপনি কি একটি ভালো রেস্তোরাঁ সুপারিশ করতে পারবেন?,Apni ki ekti bhalo restaurant shuparish korte parben?,তুই হি গম রেস্তোরাঁ সুপারিশ গুরি পাড়িবি,Tui hi gom restora shuparish guri paribi?
Let's rent a car and travel around the country.,আসুন একটি গাড়ি ভাড়া করে দেশের চারপাশে ভ্রমণ করি।,Ashun ekti gari bhara kore desher charpashe bhromon kori.,আই ইজ্ঞু গাড়ি ভাড়া গুড়িনেই দেজর চেরদিকট বেড়েয়,Aai igne gari bhara gurinei dejor cherdikot bereyo
Let's go on a boat tour.,আসুন নৌকা টুরে যাই।,Ashun nouka tour-e jai.,আয় নৌকা টুরট যেয়,Aay nouka turot jey
This is the main square of the city.,এটি শহরের প্রধান চত্বর।,Eti shohorer pradhan chottor.,ইয়ান শহরের প্রধান চত্বর,Iyan shohorer prodhan chottor
Let's go to the seashore.,আসুন সমুদ্র তীরে যাই।,Ashun shomudro tire jai.,আয় সমুদ্র তীরত যেয়,Aay shomudro tirot jey
How is the weather today?,আজ আবহাওয়া কেমন?,Aaj abohawa kemon?,ইচ্ছি দেবা আন হিদিক্কিন?,Icchi deba aan hidikkin?
Let's go to the old town.,আসুন পুরাতন শহরে যাই।,Ashun puraton shohore jai.,আই পুরোন শহরট যেয়,Aai puron shohorot jey
Let's go hiking in the mountains.,আসুন পাহাড়ে হাইকিং করি।,Ashun pahare hiking kori.,আই মুড়ো আনট হাইকিং গুরি,Aai muro aanot hiking guri
Have you tasted the local food?,আপনি কি স্থানীয় খাবারের আস্বাদন করেছেন?,Apni ki sthaniyo khabarer assadon korechen?,তুই হি স্থানীয় হাবার আনিত আস্বাদন গুড়িবি,Tui hi sthaniyo habar aanit ashshadon guribi?
Let's go for a night out in the city.,আসুন শহরে রাতে বেড়াই।,Ashun shohore rate berai.,আই রেদো শহর আন বেড়েই,Aai redo shohor aan berei
How much is the admission fee?,ভর্তি ফি কত?,Bhorti fee koto?,ভর্তি ফি হদক?,Bhorti fee hodok?
Let's go to the Botanical Garden.,আসুন বোটানিকাল গার্ডেনে যাই।,Ashun botanical garden-e jai.,আয় বোটানিকল গার্ডেনত যেয়,Aay botanical gardenot jey
Let's see the art gallery.,আসুন শিল্প গ্যালারি দেখি।,Ashun shilpo gallery dekhi.,আয় শিল্প গ্যালারি সেই,Aay shilpo gallery sei
Are there any brochures on local attractions?,কোন স্থানীয় আকর্ষণ সম্মুখে কোন ব্রোশুর আছে?,Kono sthaniyo akorshon shommukhe kono brochure ache?,হনো স্থানীয় আকর্ষন সম্মুখত হন ব্রোঞ্জর আগে,Hono sthaniyo akorshon shommukhot hono bronzor aage?
Let's go to the Science Museum.,আসুন বিজ্ঞান জাদুঘর দেখতে যাই।,Ashun biggan jadughor dekhte jai.,আই বিজ্ঞান যাদুগর সেবার যাই,Aai biggan jadughor sebar jai
Do you want to explore the city's nightlife?,আপনি কি শহরের নাইটলাইফ অনুসন্ধান করতে চান,Apni ki shohorer nightlife onushondhan korte chan?,তুই হি শহরর রেদো জীবন চেবার চাস,Tui hi shohoror redo jibon chebar chas?
Have you booked a hotel for your stay?,আপনি কি আপনার থাকার জন্য হোটেল বুক করেছেন,Apni ki apnar thakar jonno hotel book korechen?,তুই হি যেবার লাই তো হোটেল আন বুক গুচ্ছস,Tui hi jebar lai to hotel aan book gucchos?
I don't speak very well.,আমি খুব ভাল কথা বলি না,Ami khub bhalo kotha boli na.,মুই বেজ গমে দালে হোই নোয়ারঙ,Mui bej gome dale hoi noyarong
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,Amra ki ekhon jete prostut?,আমি হি যেবার লাই প্রস্তুত,Ami hi jebar lai prostut
Do you want to come?,তুমি কি আসতে চাও?,Tumi ki ashte chao?,তুই হি এবার চাস?,Tui hi ebar chas?
Have you finished work?,তুমি কি কাজ শেষ করেছ?,Tumi ki kaaj shesh korecho?,তুই হি হাম আন ফুড়িয়োস?,Tui hi haam aan phuriyos?
If you have any ideas?,যদি আপনার কোন ধারণা আছে?,Jodi apnar kono dharona ache?,তর হি হন ধারনা আগে,Tor hi hono dharona aage
Do you have any problems?,তোমার কি কোন সমস্যা আছে?,Tomar ki kono shomossha ache?,তর হি হন সমস্যা আগে?,Tor hi hono somossa aage?
Is the job still available?,চাকরি কি এখনও পাওয়া যায়?,Chakri ki ekhono paoa jay?,চাগুরি হি এজ পা যায়?,Saguri hi ej pa jay?
Can I ask you a question?,আমি কি তোমাকে একটা প্রশ্ন করতে পারি?,Ami ki tomake ekta proshno korte pari?,মুই হি তরে এক্কান হদা বিজের গুরি পাড়িম,Mui hi tore ekkan hoda bijer guri parim
My father is in his room.,আমার বাবা তার রুমে আছেন,Amar baba tar room-e achen.,ম বা মো রুমট আগে,Mo ba mo rumot aage
Please speak more slowly.,অনুগ্রহ করে আরো ধীরে কথা বলুন,Onugroho kore aro dhire kotha bolun.,হুজুলি গুরি আবো আস্তে হদা হ,Hujuli guri abo aaste hoda ho
Please go to school.,অনুগ্রহ করে স্কুলে যান,Onugroho kore school-e jaan.,হুজুলি গুরি স্কুলট যা,Hujuli guri schoolot ja
Please give me your hand.,দয়া করে আমাকে আপনার হাত দিন,Doya kore amake apnar haat din.,হুজুলি গুরি ত পট আন মরে দে,Hujuli guri to pot aan more de
The house is very small.,বাড়িটা খুব ছোট,Barita khub choto.,ঘর আন বেজ চিকন,Ghor aan bej chikon
They are both in the room.,তারা দুজনেই রুমে আছে,Tara dujonei room-e ache.,তারা দুয়ো জন রুমট আগন,Tara duyo jon rumot aagon
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,Tomar kothay betha ache?,তর হুদু পিরি আগে,Tor hudu piri aage
You need to study hard.,আপনাকে কঠোর অধ্যয়ন করতে হবে,Apnake kothor oddhoyon korte hobe.,তরে বেজ গুড়ি পড়া পুড়িবু,Tore bej guri pora puribu
Can you read this book?,আপনি এই বই পড়তে পারেন,Apni ei boi porte paren.,তুই এই বিদ্যা আন পুড়ি পারজ,Tui ei bidda aan puri paros
You are a good teacher.,তুমি একজন ভালো শিক্ষক,Tumi ekjon bhalo shikkhok,তুই ইজ্ঞু গম মাস্টর,Tui igne gom mastor
Whose decision was final?,কার সিদ্ধান্ত চূড়ান্ত ছিল?,Kar shiddhanto churanto chilo?,হা সিদ্ধান্ত আন চূড়ান্ত এল?,Ha siddhanto aan churanto el?
Thanks for the information.,তথ্যের জন্য ধন্যবাদ,Tothther jonno dhonnobad,তথ্যের লাই সাধু,Totther lai sadhu
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,Proshongshar jonno dhonnobad,প্রশংসা গুরিবার লাই ধন্যবাদ,Proshongsha guribar lai dhonnobad
You are always complaining.,আপনি সবসময় অভিযোগ করছেন,Apni shobshomoy obhijog korchen,তুই হি সবসময় অভিযোগ গড়স,Tui hi shobshomoy obhijog goros
Will you come tomorrow?,তুমি কি আগামীকাল আসবে?,Tumi ki agamikale asbe?,তুই হি হিল্লি এবে?,Tui hi hilli ebe?
Will you dance with me?,তুমি কি আমার সাথে নাচবে?,Tumi ki amar shathe nachbe?,তুই হি ম লগে নাজিবি?,Tui hi mo loge najibi?
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,Tumi aj eto klanto keno?,তুই ইচ্ছি বেজ দুর্বল হিত্তে?,Tui icchi bej durbul hitte?
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,Tumi aj shokale deri korle keno?,তুই ইচ্চি বিন্নি দেরি হিট্টে গড়লে?,Tui icchi binni deri hitte gorle?
Why didn't you come in?,তুমি ভিতরে আসো না কেন?,Tumi bhitore asho na keno?,তুই ভিদিরি হিট্টে নয়েজস?,Tui bhidiri hitte noyejos?
Why did you leave?,তুমি কেন ছেড়ে দিলে,Tumi keno chere dile?,তুই হিট্টে ছাজ্জজ?,Tui hitte chajjos?
Why were you so angry?,তুমি এত রেগে গেলে কেন?,Tumi eto rege gele keno?,তুই হিট্টে রাজ্ঞজ?,Tui hitte ragijos?
Why are you late?,তোমার দেরী হল কেন?,Tomar deri holo keno?,তর হিট্টে দেরি অল?,Tor hitte deri ol?
Why are you drying your hair?,তুমি চুল শুকাচ্ছ কেন?,Tumi chul shukaccho keno?,তুই হিট্টে চুল সুগোর?,Tui hitte chul sugor?
Which team will win the game?,খেলা কোন দল জিতবে?,Khela kon dol jitbe?,হেলা আনট হন দল জিদিবু?,Hela aanot hono dol jidibu?
Which is your favorite team?,আপনার প্রিয় দল কোনটি?,Apnar priyo dol konti?,ত প্রিয় দল হুবোন?,To priyo dol hubon?
Which is the shortest route?,সবচেয়ে কাছের পথ কোনটি?,Shobcheye kacher poth konti?,বেগ হায়ো পথ হুবোন?,Beg hayo poth hubon?
Which is more expensive?,কোনটি বেশি ব্যয়বহুল?,Konti beshi beybohul?,হুবোন বেজ দাম?,Hubon bej daam?
Where do you want to go?,আপনি কোথায় যেতে চান?,Apni kothay jete chan?,তুই হুদু যেবাস চাস?,Tui hudu jebas chas?
Did he come by bus or train?,সে কি বাসে এসেছে নাকি ট্রেনে?,She ki bus-e esheche naki train-e?,তে হি বাজট ইচ্ছি না ট্রেনট?,Te hi bajot icchi na trenot?
Did he go to see John?,সে কি জন দেখতে গিয়েছিল?,She ki John dekhte giyechilo?,তে হি জন চেবার জিয়োন?,Te hi jon chebar jiyon?
Did he propose to you?,সে কি তোমাকে প্রস্তাব করেছিল?,She ki tomake prostab korechilo?,তে হি তরে প্রস্তাব দি?,Te hi tore prostab di?
